code,name,waterway,notes
0TNR,Tennessee River,Tennessee River,USCG/NAIS inland waterway code
0WF3,Wolf River,Wolf River,USCG/NAIS inland waterway code - Memphis area tributary
0MSR,Mississippi River,Mississippi River,USCG/NAIS inland waterway code
0OHR,Ohio River,Ohio River,USCG/NAIS inland waterway code
0ILR,Illinois River,Illinois River,USCG/NAIS inland waterway code
0CRR,Cumberland River,Cumberland River,USCG/NAIS inland waterway code
0GIW,Gulf Intracoastal Waterway,Gulf Intracoastal Waterway,USCG/NAIS inland waterway code
0AKR,Arkansas River,Arkansas River,USCG/NAIS inland waterway code
0MOR,Missouri River,Missouri River,USCG/NAIS inland waterway code
0KYR,Kentucky Lake / Tennessee River,Tennessee River,USCG/NAIS inland waterway code
0NOR,New Orleans,Lower Mississippi River,USCG/NAIS - Lower Mississippi terminal area
0STL,St. Louis,Mississippi River,USCG/NAIS - Upper Mississippi terminal area
0PDH,Paducah,Ohio River,USCG/NAIS - Ohio/Tennessee confluence area
0PIT,Pittsburgh,Ohio River,USCG/NAIS - head of Ohio River system
0CAI,Cairo,Ohio River,USCG/NAIS - Ohio/Mississippi confluence
0EVV,Evansville,Ohio River,USCG/NAIS - Indiana riverport
0LVL,Louisville,Ohio River,USCG/NAIS - Ohio River
0CIN,Cincinnati,Ohio River,USCG/NAIS - Ohio River
0BTR,Baton Rouge,Lower Mississippi River,USCG/NAIS - Lower Mississippi
0NAP,Nashville,Cumberland River,USCG/NAIS - Cumberland River terminal
